SZCZESNY,Juv
MERET,Nap
OSPINA,Nap
KOULIBALY,Nap
HELANDER,Bol
MURRU,Sam
HATEBOER,Ata
MILENKOVIC,Fio
CASTAGNE,Ata
LISANDRO LOPEZ,Gen
COLLEY,Sam
BROZOVIC,Int
VERDI,Nap
HAMSIK,Nap
ROMULO,Gen
CUADRADO,Juv
BARAK,Udi
VERETOUT,Fio
RAMIREZ,Sam
MANDZUKIC,Juv
LA GUMINA,Emp
FALCINELLI,Bol
PERICA,Fro
SIMEONE,Fio
CRISTIANO RONALDO,Juv
